N,phi,K,D,E_per_N_LJ,f_rms,fmax,steps,time_s,status,lammps_bitzek,lammps_default
1000000,0.84,4,8,1.0621302655e+03,2.768570e+00,0.000000e+00,10000,660.6,diverged,,
1000000,0.84,8,0,4.9000852888e-03,8.675830e-07,0.000000e+00,13400,911.5,converged,,
1000000,0.84,8,1,4.9000852888e-03,8.675830e-07,0.000000e+00,13400,879.0,converged,,
1000000,0.84,8,2,5.0882980441e-08,7.711849e-07,0.000000e+00,10000,695.3,converged,,
1000000,0.84,8,3,5.1976245251e-09,9.872024e-07,0.000000e+00,6400,525.1,converged,,
1000000,0.84,8,5,6.1021499279e-08,1.077715e-05,0.000000e+00,40000,2413.6,stagnated,,
1000000,0.84,8,8,1.0625802390e+03,2.770297e+00,0.000000e+00,10000,465.6,diverged,,
1000000,0.84,16,0,4.9003018372e-03,7.628150e-07,0.000000e+00,17000,1630.4,converged,,
1000000,0.84,16,1,4.9003018372e-03,7.628150e-07,0.000000e+00,17000,1429.2,converged,,
1000000,0.84,16,2,4.9002554794e-03,6.245516e-07,0.000000e+00,13200,1252.8,converged,,
1000000,0.84,16,3,4.9005385809e-03,3.319567e-05,0.000000e+00,50000,3258.9,stagnated,,
1000000,0.84,16,5,1.2338920533e-06,4.625724e-05,0.000000e+00,50000,3087.8,stagnated,,
1000000,0.84,16,8,1.0773258037e+03,2.789565e+00,0.000000e+00,10000,652.9,diverged,,
1000000,0.84,32,0,4.9019935883e-03,8.843219e-07,0.000000e+00,21800,1425.3,converged,,
1000000,0.84,32,1,4.9019935883e-03,8.843219e-07,0.000000e+00,21800,1851.0,converged,,
1000000,0.84,32,2,4.9021041071e-03,9.628835e-07,0.000000e+00,18800,1336.4,converged,,
1000000,0.84,32,3,4.9043086726e-03,4.845973e-05,0.000000e+00,70000,4186.6,stagnated,,
1000000,0.84,32,5,2.0120262814e-06,7.321145e-05,0.000000e+00,60000,2546.2,stagnated,,
1000000,0.84,32,8,1.0617214933e+03,2.769819e+00,0.000000e+00,10000,824.7,diverged,,
1000000,0.86,1,0,4.5496261531e-01,9.171114e-07,0.000000e+00,8600,683.0,converged,,
1000000,0.86,1,1,4.5496261531e-01,9.171114e-07,0.000000e+00,8600,1113.2,converged,,
1000000,0.86,1,2,1.0863080725e+03,2.833626e+00,0.000000e+00,4000,274.5,diverged,,
1000000,0.86,1,3,1.0861161958e+03,2.833461e+00,0.000000e+00,4000,268.7,diverged,,
